MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,TOTAL
QUIXABA,1,1,0,0,1,0,0,2,1,0,2,8
RECIFE,625,577,629,619,542,537,561,578,535,568,598,6369
RIACHO DAS ALMAS,4,2,6,6,7,6,7,10,9,7,5,69
RIBEIRAO,4,12,15,3,5,7,9,4,6,8,12,85
RIO FORMOSO,1,1,1,1,2,2,7,1,3,6,6,31
SAIRE,0,5,0,1,3,1,4,0,5,1,2,22
SALGADINHO,1,2,0,4,3,2,1,3,5,0,1,22
SALGUEIRO,60,54,43,62,48,43,55,48,58,61,48,580
SALOA,2,4,5,5,3,7,4,8,1,2,11,52
SANHARO,8,3,5,4,11,7,9,6,7,4,4,68
SANTA CRUZ,1,4,3,4,6,3,4,7,3,3,4,42
SANTA CRUZ DA BAIXA VERDE,4,7,8,5,2,5,5,6,12,9,2,65
SANTA CRUZ DO CAPIBARIBE,31,27,42,35,39,36,30,39,37,35,45,396
SANTA FILOMENA,4,6,1,3,3,5,4,4,5,8,3,46
SANTA MARIA DA BOA VISTA,13,10,16,17,10,12,12,16,15,9,19,149
SANTA MARIA DO CAMBUCA,5,9,4,4,5,7,7,7,7,4,10,69
SANTA TEREZINHA,1,4,1,3,2,2,3,6,2,4,4,32
SAO BENEDITO DO SUL,0,4,0,2,1,2,2,1,1,0,5,18
SAO BENTO DO UNA,11,9,22,11,15,15,9,17,11,16,11,147
SAO CAETANO,3,7,16,12,12,3,12,13,10,11,20,119
SAO JOAO,4,2,9,7,7,7,3,3,2,4,3,51
SAO JOAQUIM DO MONTE,10,14,6,9,9,7,6,7,3,4,10,85
SAO JOSE DA COROA GRANDE,10,6,4,5,5,7,1,5,6,1,6,56
SAO JOSE DO BELMONTE,14,15,11,14,14,17,21,7,13,15,19,160
SAO JOSE DO EGITO,11,19,17,18,8,24,17,32,12,18,21,197
SAO LOURENCO DA MATA,35,41,35,35,40,32,26,43,38,39,51,415
SAO VICENTE FERRER,5,1,8,5,3,3,7,5,4,2,9,52
SERRA TALHADA,55,54,58,49,66,60,40,49,58,53,62,604
SERRITA,5,9,6,5,6,5,5,6,4,6,7,64
SERTANIA,17,11,26,22,13,3,16,8,20,20,18,174
SIRINHAEM,8,3,2,6,6,6,11,7,3,5,3,60
SOLIDAO,1,0,2,2,1,1,0,3,4,4,2,20
SURUBIM,28,24,23,18,22,35,18,28,28,25,35,284
TABIRA,15,8,16,14,22,12,3,11,7,11,10,129
TACAIMBO,0,5,4,2,1,3,2,1,5,0,2,25
TACARATU,5,4,10,2,7,5,5,3,3,3,5,52
TAMANDARE,12,12,7,6,9,5,5,5,4,8,9,82
TAQUARITINGA DO NORTE,7,10,5,8,10,9,5,11,7,14,14,100
TEREZINHA,1,0,0,0,0,0,1,0,0,1,0,3
TERRA NOVA,3,7,4,8,5,9,4,3,6,12,4,65
TIMBAUBA,14,10,16,12,12,12,11,17,19,11,6,140
TORITAMA,15,17,10,13,8,17,17,12,15,7,9,140
TRACUNHAEM,5,3,12,2,5,5,7,3,8,6,5,61
TRINDADE,9,13,17,12,17,17,13,13,14,28,11,164
TRIUNFO,4,6,7,8,4,3,5,11,7,3,6,64
TUPANATINGA,6,2,4,3,2,2,4,6,6,4,6,45
TUPARETAMA,1,3,2,5,2,2,2,3,4,5,0,29
VENTUROSA,4,8,8,6,3,6,4,12,0,4,7,62
VERDEJANTE,1,4,12,3,4,6,4,4,5,3,9,55
VERTENTE DO LERIO,2,1,2,0,0,0,1,2,0,2,0,10
VERTENTES,5,9,10,6,6,4,5,4,4,5,8,66
VICENCIA,3,4,8,9,9,7,4,7,7,9,15,82
VITORIA DE SANTO ANTAO,60,34,51,44,52,51,44,54,58,54,55,557
XEXEU,4,2,0,2,6,0,3,5,3,1,7,33
